date,category,name,ticker,units,nav_at_purchase,current_nav
17-05-2024,Ind_Stock,TATAPOWER.NS,TATAPOWER.NS,47,435.8,400.25
23-09-2024,Ind_Stock,TATAPOWER.NS,TATAPOWER.NS,126,465,400.25
21-01-2025,Ind_Stock,TATAPOWER.NS,TATAPOWER.NS,12,368.95,400.25
01-05-2023,Ind_Stock,NTPC.NS,NTPC.NS,45,185.84,341.75
17-05-2024,Ind_Stock,NTPC.NS,NTPC.NS,85,363.9,341.75
23-09-2024,Ind_Stock,NTPC.NS,NTPC.NS,91,431,341.75
21-01-2025,Ind_Stock,NTPC.NS,NTPC.NS,10,331.15,341.75
30-10-2024,Ind_Stock,NTPCGREEN.NS,NTPCGREEN.NS,138,108,101.01
14-05-2024,Ind_Stock,NHPC.NS,NHPC.NS,191,96.25,85.02
23-09-2024,Ind_Stock,NHPC.NS,NHPC.NS,301,94,85.02
01-05-2023,Ind_Stock,IOC.NS,IOC.NS,65,81.15,155.2
17-05-2024,Ind_Stock,IOC.NS,IOC.NS,126,163.45,155.2
23-09-2024,Ind_Stock,IOC.NS,IOC.NS,115,169,155.2
01-05-2023,Ind_Stock,ONGC.NS,ONGC.NS,90,165.21,253.27
14-05-2024,Ind_Stock,ONGC.NS,ONGC.NS,69,263.95,253.27
17-05-2024,Ind_Stock,ONGC.NS,ONGC.NS,109,281.8,253.27
23-09-2024,Ind_Stock,ONGC.NS,ONGC.NS,66,293,253.27
01-05-2023,Ind_Stock,SUZLON.NS,SUZLON.NS,1136,12.24,53.71
14-05-2024,Ind_Stock,SUZLON.NS,SUZLON.NS,463,39.65,53.71
30-10-2024,Ind_Stock,SUZLON.NS,SUZLON.NS,567,69,53.71
21-01-2025,Ind_Stock,SUZLON.NS,SUZLON.NS,41,56.71,53.71
17-05-2024,Ind_Stock,ASHOKLEY.NS,ASHOKLEY.NS,60,221,140.81
23-09-2024,Ind_Stock,ASHOKLEY.NS,ASHOKLEY.NS,125,238,140.81
01-05-2023,Ind_Stock,M&M.NS,M&M.NS,10,1369.8,3611.6
14-05-2024,Ind_Stock,M&M.NS,M&M.NS,8,2219.75,3611.6
17-05-2024,Ind_Stock,M&M.NS,M&M.NS,12,2523.84,3611.6
30-10-2024,Ind_Stock,M&M.NS,M&M.NS,28,2735,3611.6
21-01-2025,Ind_Stock,M&M.NS,M&M.NS,2,2882,3611.6
01-05-2023,Ind_Stock,EXIDEIND.NS,EXIDEIND.NS,76,195.44,379.95
14-05-2024,Ind_Stock,EXIDEIND.NS,EXIDEIND.NS,41,437,379.95
23-09-2024,Ind_Stock,EXIDEIND.NS,EXIDEIND.NS,41,469,379.95
01-05-2023,Ind_Stock,TMPV.NS,TMPV.NS,68,518.11,410.05
17-05-2024,Ind_Stock,TMPV.NS,TMPV.NS,135,971,410.05
23-09-2024,Ind_Stock,TMPV.NS,TMPV.NS,80,972,410.05
21-01-2025,Ind_Stock,TMPV.NS,TMPV.NS,4,781.35,410.05
01-05-2023,Ind_Stock,ARE&M.NS,ARE&M.NS,22,627.05,1001.95
14-05-2024,Ind_Stock,ARE&M.NS,ARE&M.NS,26,1023.2,1001.95
30-10-2024,Ind_Stock,ARE&M.NS,ARE&M.NS,14,1347,1001.95
01-05-2023,Ind_Stock,SONACOMS.NS,SONACOMS.NS,8,526.63,483.85
30-10-2024,Ind_Stock,SONACOMS.NS,SONACOMS.NS,29,683,483.85
14-05-2024,Ind_Stock,SUBROS.NS,SUBROS.NS,29,572.24,1116.8
01-05-2023,Ind_Stock,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,1,4571,9095.5
01-05-2023,Ind_Stock,TVSMOTOR.NS,TVSMOTOR.NS,10,1303.7,3639.9
14-05-2024,Ind_Stock,TVSMOTOR.NS,TVSMOTOR.NS,8,2117.55,3639.9
17-05-2024,Ind_Stock,TVSMOTOR.NS,TVSMOTOR.NS,9,2145.35,3639.9
30-10-2024,Ind_Stock,TVSMOTOR.NS,TVSMOTOR.NS,8,2474,3639.9
23-09-2024,Ind_Stock,GODREJAGRO.NS,GODREJAGRO.NS,24,785,668.05
21-01-2025,Ind_Stock,TATACONSUM.NS,TATACONSUM.NS,2,968.9,1169.9
30-10-2024,Ind_Stock,JPPOWER.NS,JPPOWER.NS,262,18,17.9
21-10-2025,Ind_Stock,TMCV.NS,TMCV.NS,287,200,200
01-10-2025,Mutual Fund,Nippon India Small Cap Fund,0P0000XVFY.BO,839,188.5,190.809
01-10-2025,Mutual Fund,Nippon India Large Cap Fund,0P0000XVG6.BO,3000,103,104.88
18-09-2025,Mutual Fund,Motilal Oswal Midcap Fund,0P00012ALS.BO,816,122.51,120.284
06-10-2025,Mutual Fund,Motilal Oswal Midcap Fund,0P00012ALS.BO,1132,117.4,120.284
06-10-2025,Mutual Fund,Motilal Oswal Microcap Index Fund,0P0001R64W.BO,12223,17.18,17.299
18-09-2025,Mutual Fund,Motilal Oswal Microcap Index Fund,0P0001R64W.BO,5624,17.78,17.299
08-09-2025,Mutual Fund,HDFC Smallcap Fund,0P0000XVAA.BO,340.38,161.6,162.332
06-10-2025,Mutual Fund,HDFC Smallcap Fund,0P0000XVAA.BO,621,160.8,162.332
22-09-2025,Mutual Fund,HDFC Midcap Fund,0P0000XW8F.BO,693,216.45,220.059
06-10-2025,Mutual Fund,HDFC Midcap Fund,0P0000XW8F.BO,742.8,215.4,220.059
